Name	Comment	Type	Group	Loc	Orient	Weight
['os7']	[]	['SEEG']	[]	[[14], [-17], [66]]	[]	[[1]]
['os8']	[]	['SEEG']	[]	[[17], [-20], [71]]	[]	[[1]]
['os9']	[]	['SEEG']	[]	[[18], [-22], [76]]	[]	[[1]]
['os10']	[]	['SEEG']	[]	[[20], [-25], [81]]	[]	[[1]]
['pi1']	[]	['SEEG']	[]	[[2], [-48], [31]]	[]	[[1]]
['pi2']	[]	['SEEG']	[]	[[5], [-48], [31]]	[]	[[1]]
['pi3']	[]	['SEEG']	[]	[[8], [-48], [31]]	[]	[[1]]
['pi4']	[]	['SEEG']	[]	[[11], [-48], [31]]	[]	[[1]]
['pi5']	[]	['SEEG']	[]	[[14], [-48], [31]]	[]	[[1]]
['pi6']	[]	['SEEG']	[]	[[17], [-48], [31]]	[]	[[1]]
['pi7']	[]	['SEEG']	[]	[[20], [-48], [31]]	[]	[[1]]
['pi8']	[]	['SEEG']	[]	[[23], [-48], [31]]	[]	[[1]]
['pi9']	[]	['SEEG']	[]	[[26], [-48], [31]]	[]	[[1]]
['pi10']	[]	['SEEG']	[]	[[29], [-48], [31]]	[]	[[1]]
['pa1']	[]	['SEEG']	[]	[[2], [-58], [50]]	[]	[[1]]
['pa2']	[]	['SEEG']	[]	[[5], [-58], [50]]	[]	[[1]]
['pa3']	[]	['SEEG']	[]	[[8], [-58], [50]]	[]	[[1]]
['pa4']	[]	['SEEG']	[]	[[11], [-58], [50]]	[]	[[1]]
['pa5']	[]	['SEEG']	[]	[[14], [-58], [50]]	[]	[[1]]
['pa6']	[]	['SEEG']	[]	[[17], [-58], [50]]	[]	[[1]]
['pa7']	[]	['SEEG']	[]	[[20], [-58], [50]]	[]	[[1]]
['pa8']	[]	['SEEG']	[]	[[23], [-58], [50]]	[]	[[1]]
['pa9']	[]	['SEEG']	[]	[[26], [-58], [50]]	[]	[[1]]
['pa10']	[]	['SEEG']	[]	[[29], [-58], [50]]	[]	[[1]]
['cu1']	[]	['SEEG']	[]	[[1], [-75], [19]]	[]	[[1]]
['cu2']	[]	['SEEG']	[]	[[4], [-75], [19]]	[]	[[1]]
['cu3']	[]	['SEEG']	[]	[[7], [-75], [19]]	[]	[[1]]
['cu4']	[]	['SEEG']	[]	[[10], [-75], [19]]	[]	[[1]]
['cu5']	[]	['SEEG']	[]	[[13], [-75], [19]]	[]	[[1]]
['cu6']	[]	['SEEG']	[]	[[16], [-75], [19]]	[]	[[1]]
['cu7']	[]	['SEEG']	[]	[[19], [-75], [19]]	[]	[[1]]
['cu8']	[]	['SEEG']	[]	[[22], [-75], [19]]	[]	[[1]]
['cu9']	[]	['SEEG']	[]	[[25], [-75], [19]]	[]	[[1]]
['cu10']	[]	['SEEG']	[]	[[28], [-75], [19]]	[]	[[1]]
